sentence,tokens,person1,person2,person1_word_idx,person2_word_idx,location1,location2,family1,family2,location_yes,family_yes
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,INR,"(18, 19)","(128, 128)",1,1,0,0,2,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Select,• Repeat,"(18, 29)","(18, 29, 36, 44, 56, 57)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Select,INR,"(18, 29)","(128, 128)",1,1,0,0,2,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Repeat,INR,"(18, 29)","(128, 128)",1,1,0,0,2,0
.Give some drawbacks of linear regression model Some drawbacks of linear regression model are - • It can ’ t capture non -linear relationships between the independent and dependent variables .,"['.Give', 'some', 'drawbacks', 'of', 'linear', 'regression', 'model', 'Some', 'drawbacks', 'of', 'linear', 'regression', 'model', 'are', '-', '•', 'It', 'can', '’', 't', 'capture', 'non', '-linear', 'relationships', 'between', 'the', 'independent', 'and', 'dependent', 'variables', '.']",linear,linear,"(4, 4)","(4, 4)",0,0,0,0,0,0
Bivariate analysis is the study of two variables .,"['Bivariate', 'analysis', 'is', 'the', 'study', 'of', 'two', 'variables', '.']",Bivariate,two,"(0, 0)","(6, 6)",1,0,0,0,1,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",Biotech,years,"(71, 71)","(76, 76)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",Biotech,SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and,"(71, 71)","(40, 41, 78, 79)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",Biotech,three,"(71, 71)","(100, 100)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",Biotech,two,"(71, 71)","(109, 109)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",years,SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and,"(76, 76)","(40, 41, 78, 79)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",years,three,"(76, 76)","(100, 100)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",years,two,"(76, 76)","(109, 109)",0,0,0,0,0,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and,three,"(12, 40)","(100, 100)",1,0,0,0,1,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and,two,"(12, 40)","(109, 109)",1,0,0,0,1,0
"X [ : , np.newaxis ] + Y .Solve the below code and give its output Output :  .Based on the below table , write a query to find out the name of the student whose age is  SELECT Name FROM StudentData WHERE Age = ‘  ’ .Based on the above table , write a query to find out the names of those students who are from the Biotech department and are  years old SELECT Name FROM StudentData WHERE Department = ‘ Bio Tech ’ and Age = ‘  ’ .If you roll a dice three times , what is the probability to get two consecutive sixes ?","['X', '[', ':', ',', 'np.newaxis', ']', '+', 'Y', '.Solve', 'the', 'below', 'code', 'and', 'give', 'its', 'output', 'Output', ':', ' ', '.Based', 'on', 'the', 'below', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'name', 'of', 'the', 'student', 'whose', 'age', 'is', ' ', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Age', '=', '‘', ' ', '’', '.Based', 'on', 'the', 'above', 'table', ',', 'write', 'a', 'query', 'to', 'find', 'out', 'the', 'names', 'of', 'those', 'students', 'who', 'are', 'from', 'the', 'Biotech', 'department', 'and', 'are', ' ', 'years', 'old', 'SELECT', 'Name', 'FROM', 'StudentData', 'WHERE', 'Department', '=', '‘', 'Bio', 'Tech', '’', 'and', 'Age', '=', '‘', ' ', '’', '.If', 'you', 'roll', 'a', 'dice', 'three', 'times', ',', 'what', 'is', 'the', 'probability', 'to', 'get', 'two', 'consecutive', 'sixes', '?']",three,two,"(100, 100)","(109, 109)",0,0,0,0,0,0
"The probability is / .Using the Euclidean distance formula calculate the distance between the following points P (  ,  ) Q (  ,  ) .","['The', 'probability', 'is', '/', '.Using', 'the', 'Euclidean', 'distance', 'formula', 'calculate', 'the', 'distance', 'between', 'the', 'following', 'points', 'P', '(', ' ', ',', ' ', ')', 'Q', '(', ' ', ',', ' ', ')', '.']",Euclidean,P,"(6, 6)","(16, 16)",0,0,0,0,0,0
"For : ( X , Y ) = (  ,  ) ( X , Y ) = (  ,  ) .Write a code to build ROC curve for model Build Looking for remote developer job at US companies ?","['For', ':', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '.Write', 'a', 'code', 'to', 'build', 'ROC', 'curve', 'for', 'model', 'Build', 'Looking', 'for', 'remote', 'developer', 'job', 'at', 'US', 'companies', '?']",ROC,Build Looking,"(29, 29)","(33, 34)",0,0,0,0,0,0
"For : ( X , Y ) = (  ,  ) ( X , Y ) = (  ,  ) .Write a code to build ROC curve for model Build Looking for remote developer job at US companies ?","['For', ':', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '.Write', 'a', 'code', 'to', 'build', 'ROC', 'curve', 'for', 'model', 'Build', 'Looking', 'for', 'remote', 'developer', 'job', 'at', 'US', 'companies', '?']",ROC,US,"(29, 29)","(40, 40)",1,0,0,0,1,0
"For : ( X , Y ) = (  ,  ) ( X , Y ) = (  ,  ) .Write a code to build ROC curve for model Build Looking for remote developer job at US companies ?","['For', ':', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '(', 'X', ',', 'Y', ')', '=', '(', ' ', ',', ' ', ')', '.Write', 'a', 'code', 'to', 'build', 'ROC', 'curve', 'for', 'model', 'Build', 'Looking', 'for', 'remote', 'developer', 'job', 'at', 'US', 'companies', '?']",Build Looking,US,"(33, 34)","(40, 40)",1,0,0,0,1,0
